cipher,keyword,np,dist,avg_time_s,avg_speedup,avg_efficiency,valid_runs,total_runs
cipher,UNIQUEKEY_2025_DBK,1,block,0.0415,1.0000,1.0000,10,10
cipher,UNIQUEKEY_2025_DBK,1,dynamic,0.0448,1.0000,1.0000,10,10
cipher,UNIQUEKEY_2025_DBK,1,interleaved,0.0475,1.0000,1.0000,10,10
cipher,UNIQUEKEY_2025_DBK,2,block,1.1238,0.0370,0.0185,10,10
cipher,UNIQUEKEY_2025_DBK,2,dynamic,0.0460,0.9766,0.4883,10,10
cipher,UNIQUEKEY_2025_DBK,2,interleaved,1.1308,0.0420,0.0210,10,10
cipher,UNIQUEKEY_2025_DBK,3,block,1.1820,0.0352,0.0117,10,10
cipher,UNIQUEKEY_2025_DBK,3,dynamic,2.3659,0.0190,0.0063,10,10
cipher,UNIQUEKEY_2025_DBK,3,interleaved,1.1921,0.0399,0.0133,10,10
cipher,UNIQUEKEY_2025_DBK,4,block,1.1713,0.0355,0.0089,10,10
cipher,UNIQUEKEY_2025_DBK,4,dynamic,2.3844,0.0188,0.0047,10,10
cipher,UNIQUEKEY_2025_DBK,4,interleaved,1.1647,0.0408,0.0102,10,10
cipher,UNIQUEKEY_2025_DBK,5,block,1.1731,0.0354,0.0071,10,10
cipher,UNIQUEKEY_2025_DBK,5,dynamic,2.4251,0.0185,0.0037,10,10
cipher,UNIQUEKEY_2025_DBK,5,interleaved,1.2541,0.0379,0.0076,10,10
cipher,UNIQUEKEY_2025_DBK,6,block,1.2838,0.0324,0.0054,10,10
cipher,UNIQUEKEY_2025_DBK,6,dynamic,2.5134,0.0178,0.0030,10,10
cipher,UNIQUEKEY_2025_DBK,6,interleaved,1.2989,0.0366,0.0061,10,10
cipher,UNIQUEKEY_2025_DBK,7,block,1.3409,0.0310,0.0044,10,10
cipher,UNIQUEKEY_2025_DBK,7,dynamic,2.6200,0.0171,0.0024,10,10
cipher,UNIQUEKEY_2025_DBK,7,interleaved,1.3305,0.0357,0.0051,10,10
cipher,UNIQUEKEY_2025_DBK,8,block,1.4041,0.0296,0.0037,10,10
cipher,UNIQUEKEY_2025_DBK,8,dynamic,2.9257,0.0156,0.0019,10,10
cipher,UNIQUEKEY_2025_DBK,8,interleaved,1.4226,0.0334,0.0042,10,10
cipher,UNIQUEKEY_2025_DBK,10,block,1.6172,0.0257,0.0026,10,10
cipher,UNIQUEKEY_2025_DBK,10,dynamic,3.1177,0.0144,0.0014,10,10
cipher,UNIQUEKEY_2025_DBK,10,interleaved,1.6725,0.0284,0.0028,10,10
cipher_early,the,1,block,0.0665,1.0000,1.0000,10,10
cipher_early,the,1,dynamic,0.0671,1.0000,1.0000,10,10
cipher_early,the,1,interleaved,0.0695,1.0000,1.0000,10,10
cipher_early,the,2,block,0.1653,0.4024,0.2012,10,10
cipher_early,the,2,dynamic,0.0699,0.9607,0.4803,10,10
cipher_early,the,2,interleaved,0.1124,0.6236,0.3118,10,10
cipher_early,the,3,block,0.1690,0.3936,0.1312,10,10
cipher_early,the,3,dynamic,0.0695,0.9658,0.3219,10,10
cipher_early,the,3,interleaved,0.1823,0.3824,0.1275,10,10
cipher_early,the,4,block,0.1688,0.3941,0.0985,10,10
