np,dist,cipher,count,median,p10,p90,speedup,efficiency_pct
1,block,early,5,1.641327,1.636285,1.721109,1.000000,100.000000
2,block,early,5,1.964554,1.929132,1.976492,0.835471,41.773527
4,block,early,5,2.420602,2.297617,2.451349,0.678066,16.951641
8,block,early,5,3.146930,3.091917,3.366955,0.521565,6.519556
1,block,late,5,166.950682,165.158789,167.275469,1.000000,100.000000
2,block,late,5,89.198818,88.786438,90.066491,1.871669,93.583461
4,block,late,5,52.893745,52.789479,53.845472,3.156341,78.908518
8,block,late,5,33.401655,33.138972,33.441025,4.998276,62.478447
1,block,middle,5,83.019716,82.406147,106.164869,1.000000,100.000000
4,block,middle,2,0.000168,0.000137,0.000200,492698.611276,12317465.281899
8,block,middle,3,0.000232,0.000200,0.000266,357843.603448,4473045.043103
1,dynamic,early,5,1.718641,1.715586,1.723555,1.000000,100.000000
2,dynamic,early,5,1.756026,1.729115,1.771795,0.978710,48.935523
4,dynamic,early,5,0.751323,0.731217,0.780669,2.287486,57.187155
8,dynamic,early,5,0.987976,0.955925,1.010710,1.739557,21.744468
1,dynamic,late,5,168.808117,167.724388,168.967795,1.000000,100.000000
2,dynamic,late,5,175.257340,172.837436,176.576380,0.963201,48.160070
4,dynamic,late,5,66.693981,66.509163,66.998714,2.531085,63.277118
8,dynamic,late,5,36.386269,35.939194,36.699184,4.639336,57.991696
1,dynamic,middle,5,85.156442,84.990652,85.567943,1.000000,100.000000
2,dynamic,middle,5,87.556900,86.464809,88.124580,0.972584,48.629201
4,dynamic,middle,5,33.509176,33.293584,33.556083,2.541287,63.532181
8,dynamic,middle,5,18.746655,18.423136,19.022095,4.542487,56.781091
1,interleaved,early,5,1.653420,1.630829,1.659682,1.000000,100.000000
2,interleaved,early,5,1.074958,1.043078,1.116557,1.538125,76.906261
4,interleaved,early,5,0.631298,0.615703,0.660282,2.619080,65.477001
8,interleaved,early,5,0.554598,0.543424,0.565525,2.981295,37.266182
1,interleaved,late,5,166.650491,164.845871,168.340175,1.000000,100.000000
2,interleaved,late,5,90.458878,90.000465,91.260709,1.842279,92.113950
4,interleaved,late,5,54.623983,54.319848,64.112235,3.050867,76.271668
8,interleaved,late,5,34.844961,34.723729,35.085412,4.782628,59.782852
1,interleaved,middle,5,84.473467,84.142464,84.856466,1.000000,100.000000
2,interleaved,middle,5,45.574357,45.504135,46.082554,1.853531,92.676532
4,interleaved,middle,5,27.376998,27.170577,27.741187,3.085564,77.139089
8,interleaved,middle,5,17.865464,17.376536,18.071332,4.728311,59.103885
